,Unnamed: 0,Any,Trimestre,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Lloguer_mitja,Preu
203,203,2014,3,9,Sant Andreu,58,Baró de Viver,Lloguer mitjà mensual (Euros/mes),Unknown
204,204,2014,3,9,Sant Andreu,59,el Bon Pastor,Lloguer mitjà mensual (Euros/mes),"503,93"
205,205,2014,3,9,Sant Andreu,60,Sant Andreu,Lloguer mitjà mensual (Euros/mes),"593,22"
206,206,2014,3,9,Sant Andreu,61,la Sagrera,Lloguer mitjà mensual (Euros/mes),"570,36"
207,207,2014,3,9,Sant Andreu,62,el Congrés i els Indians,Lloguer mitjà mensual (Euros/mes),"596,63"
208,208,2014,3,9,Sant Andreu,63,Navas,Lloguer mitjà mensual (Euros/mes),"635,11"
209,209,2014,3,10,Sant Martí,64,el Camp de l'Arpa del Clot,Lloguer mitjà mensual (Euros/mes),"604,83"
210,210,2014,3,10,Sant Martí,65,el Clot,Lloguer mitjà mensual (Euros/mes),"607,62"
211,211,2014,3,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Lloguer mitjà mensual (Euros/mes),"739,94"
212,212,2014,3,10,Sant Martí,67,la Vila Olímpica del Poblenou,Lloguer mitjà mensual (Euros/mes),"1121,06"
213,213,2014,3,10,Sant Martí,68,el Poblenou,Lloguer mitjà mensual (Euros/mes),"652,23"
214,214,2014,3,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Lloguer mitjà mensual (Euros/mes),"896,42"
215,215,2014,3,10,Sant Martí,70,el Besòs i el Maresme,Lloguer mitjà mensual (Euros/mes),"423,45"
216,216,2014,3,10,Sant Martí,71,Provençals del Poblenou,Lloguer mitjà mensual (Euros/mes),"630,29"
217,217,2014,3,10,Sant Martí,72,Sant Martí de Provençals,Lloguer mitjà mensual (Euros/mes),"614,55"
218,218,2014,3,10,Sant Martí,73,la Verneda i la Pau,Lloguer mitjà mensual (Euros/mes),"569,84"
219,219,2014,4,1,Ciutat Vella,1,el Raval,Lloguer mitjà mensual (Euros/mes),"597,0"
220,220,2014,4,1,Ciutat Vella,2,el Barri Gòtic,Lloguer mitjà mensual (Euros/mes),"761,68"
221,221,2014,4,1,Ciutat Vella,3,la Barceloneta,Lloguer mitjà mensual (Euros/mes),"593,73"
222,222,2014,4,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Lloguer mitjà mensual (Euros/mes),"687,33"
223,223,2014,4,2,Eixample,5,el Fort Pienc,Lloguer mitjà mensual (Euros/mes),"735,99"
224,224,2014,4,2,Eixample,6,la Sagrada Família,Lloguer mitjà mensual (Euros/mes),"687,26"
225,225,2014,4,2,Eixample,7,la Dreta de l'Eixample,Lloguer mitjà mensual (Euros/mes),"975,96"
226,226,2014,4,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Lloguer mitjà mensual (Euros/mes),"848,56"
227,227,2014,4,2,Eixample,9,la Nova Esquerra de l'Eixample,Lloguer mitjà mensual (Euros/mes),"753,61"
